Date,Team 1,FT,Team 2
2016-02-02,West Brom,1-1,Swansea
2016-02-02,West Ham,2-0,Aston Villa
2016-02-03,Everton,3-0,Newcastle
2016-02-06,Aston Villa,2-0,Norwich
2016-02-06,Liverpool,2-2,Sunderland
2016-02-06,Man City,1-3,Leicester
2016-02-06,Newcastle,1-0,West Brom
2016-02-06,Stoke,0-3,Everton
2016-02-06,Swansea,1-1,Crystal Palace
2016-02-06,Tottenham,1-0,Watford
2016-02-07,Bournemouth,0-2,Arsenal
2016-02-07,Chelsea,1-1,Man United
2016-02-08,Southampton,1-0,West Ham
2016-02-13,Bournemouth,1-3,Stoke
2016-02-13,Chelsea,5-1,Newcastle
2016-02-13,Crystal Palace,1-2,Watford
2016-02-13,Everton,0-1,West Brom
2016-02-13,Norwich,2-2,West Ham
2016-02-13,Sunderland,2-1,Man United
2016-02-13,Swansea,0-1,Southampton
2016-02-14,Arsenal,2-1,Leicester
2016-02-14,Aston Villa,0-6,Liverpool
2016-02-14,Man City,1-2,Tottenham
2016-02-27,Leicester,1-0,Norwich
2016-02-27,Southampton,1-2,Chelsea
2016-02-27,Stoke,2-1,Aston Villa
2016-02-27,Watford,0-0,Bournemouth
2016-02-27,West Brom,3-2,Crystal Palace
2016-02-27,West Ham,1-0,Sunderland
2016-02-28,Liverpool,4-0,Everton
2016-02-28,Man United,3-2,Arsenal
2016-02-28,Newcastle,1-1,Man City
2016-02-28,Tottenham,2-1,Swansea
2016-03-01,Bournemouth,2-0,Southampton
2016-03-01,Aston Villa,1-3,Everton
2016-03-01,Leicester,2-2,West Brom
2016-03-01,Norwich,1-2,Chelsea
2016-03-01,Sunderland,2-2,Crystal Palace
2016-03-02,Arsenal,1-2,Swansea
2016-03-02,Liverpool,3-0,Man City
2016-03-02,Man United,1-0,Watford
2016-03-02,Stoke,1-0,Newcastle
2016-03-02,West Ham,1-0,Tottenham
2016-03-05,Chelsea,1-1,Stoke
2016-03-05,Everton,2-3,West Ham
2016-03-05,Man City,4-0,Aston Villa
2016-03-05,Newcastle,1-3,Bournemouth
2016-03-05,Southampton,1-1,Sunderland
2016-03-05,Swansea,1-0,Norwich
2016-03-05,Tottenham,2-2,Arsenal
2016-03-05,Watford,0-1,Leicester
2016-03-06,Crystal Palace,1-2,Liverpool
2016-03-06,West Brom,1-0,Man United
2016-03-12,Bournemouth,3-2,Swansea
2016-03-12,Arsenal,2-0,West Brom
2016-03-12,Aston Villa,0-2,Tottenham
2016-03-12,Man United,2-0,Crystal Palace
2016-03-12,Norwich,0-0,Man City
2016-03-12,Stoke,1-2,Southampton
2016-03-12,Sunderland,3-0,Everton
2016-03-12,West Ham,3-1,Watford
2016-03-13,Liverpool,1-1,Chelsea
2016-03-14,Leicester,1-0,Newcastle
2016-03-19,Chelsea,2-2,West Ham
2016-03-19,Crystal Palace,0-1,Leicester
2016-03-19,Everton,0-2,Arsenal
2016-03-19,Southampton,3-2,Liverpool
2016-03-19,Swansea,1-0,Aston Villa
2016-03-19,Tottenham,3-0,Bournemouth
2016-03-19,Watford,1-2,Stoke
2016-03-19,West Brom,0-1,Norwich
2016-03-20,Man City,0-1,Man United
2016-03-20,Newcastle,1-1,Sunderland
2016-04-02,Bournemouth,0-4,Man City
2016-04-02,Arsenal,4-0,Watford
