Date,Team 1,FT,Team 2
2016-12-01,Liverpool,3-3,Arsenal
2016-12-01,Swansea,2-4,Sunderland
2016-13-01,Chelsea,2-2,West Brom
2016-13-01,Man City,0-0,Everton
2016-13-01,Newcastle,3-3,Man United
2016-13-01,Southampton,2-0,Watford
2016-13-01,Stoke,3-1,Norwich
2016-13-01,Tottenham,0-1,Leicester
2016-16-01,Bournemouth,3-0,Norwich
2016-16-01,Aston Villa,1-1,Leicester
2016-16-01,Chelsea,3-3,Everton
2016-16-01,Man City,4-0,Crystal Palace
2016-16-01,Newcastle,2-1,West Ham
2016-16-01,Southampton,3-0,West Brom
2016-16-01,Tottenham,4-1,Sunderland
2016-17-01,Liverpool,0-1,Man United
2016-17-01,Stoke,0-0,Arsenal
2016-18-01,Swansea,1-0,Watford
2016-23-01,Crystal Palace,1-3,Tottenham
2016-23-01,Leicester,3-0,Stoke
2016-23-01,Man United,0-1,Southampton
2016-23-01,Norwich,4-5,Liverpool
2016-23-01,Sunderland,1-1,Bournemouth
2016-23-01,Watford,2-1,Newcastle
2016-23-01,West Brom,0-0,Aston Villa
2016-23-01,West Ham,2-2,Man City
2016-24-01,Arsenal,0-1,Chelsea
2016-24-01,Everton,1-2,Swansea
2016-02-02,Arsenal,0-0,Southampton
2016-02-02,Crystal Palace,1-2,Bournemouth
2016-02-02,Leicester,2-0,Liverpool
2016-02-02,Man United,3-0,Stoke
2016-02-02,Norwich,0-3,Tottenham
2016-02-02,Sunderland,0-1,Man City
2016-02-02,Watford,0-0,Chelsea
2016-02-02,West Brom,1-1,Swansea
2016-02-02,West Ham,2-0,Aston Villa
2016-03-02,Everton,3-0,Newcastle
2016-06-02,Aston Villa,2-0,Norwich
2016-06-02,Liverpool,2-2,Sunderland
2016-06-02,Man City,1-3,Leicester
2016-06-02,Newcastle,1-0,West Brom
2016-06-02,Stoke,0-3,Everton
2016-06-02,Swansea,1-1,Crystal Palace
2016-06-02,Tottenham,1-0,Watford
2016-07-02,Bournemouth,0-2,Arsenal
2016-07-02,Chelsea,1-1,Man United
2016-08-02,Southampton,1-0,West Ham
2016-13-02,Bournemouth,1-3,Stoke
2016-13-02,Chelsea,5-1,Newcastle
2016-13-02,Crystal Palace,1-2,Watford
2016-13-02,Everton,0-1,West Brom
2016-13-02,Norwich,2-2,West Ham
2016-13-02,Sunderland,2-1,Man United
2016-13-02,Swansea,0-1,Southampton
2016-14-02,Arsenal,2-1,Leicester
2016-14-02,Aston Villa,0-6,Liverpool
2016-14-02,Man City,1-2,Tottenham
2016-27-02,Leicester,1-0,Norwich
2016-27-02,Southampton,1-2,Chelsea
2016-27-02,Stoke,2-1,Aston Villa
2016-27-02,Watford,0-0,Bournemouth
2016-27-02,West Brom,3-2,Crystal Palace
2016-27-02,West Ham,1-0,Sunderland
2016-28-02,Liverpool,4-0,Everton
2016-28-02,Man United,3-2,Arsenal
2016-28-02,Newcastle,1-1,Man City
2016-28-02,Tottenham,2-1,Swansea
2016-01-03,Bournemouth,2-0,Southampton
2016-01-03,Aston Villa,1-3,Everton
2016-01-03,Leicester,2-2,West Brom
2016-01-03,Norwich,1-2,Chelsea
2016-01-03,Sunderland,2-2,Crystal Palace
2016-02-03,Arsenal,1-2,Swansea
